decade,genres,count
1870,Animation,30
1870,Documentary,2
1870,History,1
1870,Short,32
1870,Sport,1
1880,Animation,2
1880,Biography,1
1880,Documentary,24
1880,Reality-TV,1
1880,Short,79
1880,Sport,1
1890,Action,11
1890,Adventure,2
1890,Animation,9
1890,Biography,6
1890,Comedy,600
1890,Crime,23
1890,Documentary,3923
1890,Drama,144
1890,Family,21
1890,Fantasy,44
1890,History,17
1890,Horror,27
1890,Music,6
1890,News,245
1890,Romance,12
1890,Sci-Fi,1
1890,Short,6082
1890,Sport,325
1890,War,93
1890,Western,13
1900,Action,58
1900,Adult,4
1900,Adventure,61
1900,Animation,77
1900,Biography,22
1900,Comedy,5445
1900,Crime,279
1900,Documentary,11098
1900,Drama,3045
1900,Family,29
1900,Fantasy,487
1900,History,78
1900,Horror,54
1900,Music,302
1900,Musical,105
1900,Mystery,20
1900,News,142
1900,Romance,110
1900,Sci-Fi,16
1900,Short,25564
1900,Sport,777
1900,Thriller,11
1900,War,191
1900,Western,203
1910,Action,364
1910,Adult,3
1910,Adventure,743
1910,Animation,1422
1910,Biography,83
1910,Comedy,21476
1910,Crime,1617
1910,Documentary,8371
1910,Drama,23747
1910,Family,115
1910,Fantasy,319
1910,History,282
1910,Horror,167
1910,Music,82
1910,Musical,70
1910,Mystery,423
1910,News,2359
1910,Romance,2301
1910,Sci-Fi,58
1910,Short,59451
1910,Sport,278
1910,Thriller,640
1910,War,747
1910,Western,3424
1920,Action,788
1920,Adult,26
1920,Adventure,939
1920,Animation,2394
1920,Biography,104
1920,Comedy,9860
1920,Crime,998
1920,Documentary,3376
1920,Drama,11108
1920,Family,263
1920,Fantasy,209
1920,Film-Noir,4
1920,History,376
1920,Horror,133
1920,Music,546
1920,Musical,339
1920,Mystery,422
1920,News,48
1920,Reality-TV,4
1920,Romance,1803
1920,Sci-Fi,43
1920,Short,14616
1920,Sport,470
1920,Thriller,159
1920,War,212
1920,Western,2002
1930,Action,881
1930,Adult,15
1930,Adventure,947
1930,Animation,2436
1930,Biography,167
1930,Comedy,8456
1930,Crime,1718
1930,Documentary,4238
1930,Drama,10389
1930,Family,1386
1930,Fantasy,262
1930,Film-Noir,66
1930,Game-Show,7
1930,History,385
1930,Horror,203
1930,Music,1391
1930,Musical,1871
1930,Mystery,729
1930,News,78
1930,Reality-TV,4
1930,Romance,2864
1930,Sci-Fi,75
1930,Short,9894
1930,Sport,740
1930,Talk-Show,46
1930,Thriller,186
1930,War,505
1930,Western,1064
1940,Action,753
1940,Adult,10
1940,Adventure,983
1940,Animation,2206
1940,Biography,255
1940,Comedy,6497
1940,Crime,1449
1940,Documentary,4779
1940,Drama,8913
1940,Family,2053
1940,Fantasy,376
1940,Film-Noir,393
1940,Game-Show,371
1940,History,412
1940,Horror,280
1940,Music,3285
1940,Musical,1262
1940,Mystery,769
1940,News,363
1940,Reality-TV,33
1940,Romance,1998
1940,Sci-Fi,96
1940,Short,8529
1940,Sport,668
1940,Talk-Show,518
1940,Thriller,273
1940,War,1237
1940,Western,1163
1950,Action,3653
1950,Adult,10
1950,Adventure,6033
1950,Animation,3366
1950,Biography,1031
1950,Comedy,29082
1950,Crime,8752
1950,Documentary,10834
1950,Drama,56515
1950,Family,29884
1950,Fantasy,3595
1950,Film-Noir,418
1950,Game-Show,6325
1950,History,1522
1950,Horror,4771
1950,Music,16095
1950,Musical,2332
1950,Mystery,7636
1950,News,7927
1950,Reality-TV,368
1950,Romance,9609
1950,Sci-Fi,1192
1950,Short,11559
1950,Sport,2621
1950,Talk-Show,10781
1950,Thriller,1423
1950,War,1220
1950,Western,5722
1960,Action,11321
1960,Adult,158
1960,Adventure,15281
1960,Animation,14032
1960,Biography,2103
1960,Comedy,52553
1960,Crime,17589
1960,Documentary,24499
1960,Drama,100695
1960,Family,49319
1960,Fantasy,12595
1960,Game-Show,24031
1960,History,3283
1960,Horror,12773
1960,Music,25480
1960,Musical,3450
1960,Mystery,13437
1960,News,19956
1960,Reality-TV,1453
1960,Romance,38155
1960,Sci-Fi,2430
1960,Short,18201
1960,Sport,4878
1960,Talk-Show,22687
1960,Thriller,2345
1960,War,2545
1960,Western,5651
1970,Action,15934
1970,Adult,3670
1970,Adventure,19144
1970,Animation,19609
1970,Biography,2873
1970,Comedy,70683
1970,Crime,19439
1970,Documentary,29095
1970,Drama,140839
1970,Family,50606
1970,Fantasy,17696
1970,Game-Show,25743
1970,History,7102
1970,Horror,14350
1970,Music,25633
1970,Musical,3180
1970,Mystery,15587
1970,News,28166
1970,Reality-TV,1714
1970,Romance,64484
1970,Sci-Fi,3411
1970,Short,20333
1970,Sport,5940
1970,Talk-Show,29718
1970,Thriller,3274
1970,War,2747
1970,Western,1855
1980,Action,23868
1980,Adult,6900
1980,Adventure,24325
1980,Animation,31183
1980,Biography,4293
1980,Comedy,82195
1980,Crime,22178
1980,Documentary,38954
1980,Drama,154554
1980,Family,57406
1980,Fantasy,11954
1980,Game-Show,31397
1980,History,6923
1980,Horror,9717
1980,Music,23595
1980,Musical,5294
1980,Mystery,14543
1980,News,30378
1980,Reality-TV,2770
1980,Romance,76678
1980,Sci-Fi,4903
1980,Short,20700
1980,Sport,10916
1980,Talk-Show,34611
1980,Thriller,4995
1980,War,2560
1980,Western,688
1990,Action,42436
1990,Adult,18832
1990,Adventure,42630
1990,Animation,47596
1990,Biography,7282
1990,Comedy,164146
1990,Crime,39699
1990,Documentary,69767
1990,Drama,232004
1990,Family,86129
1990,Fantasy,16231
1990,Game-Show,45148
1990,History,11252
1990,Horror,7925
1990,Music,34677
1990,Musical,9813
1990,Mystery,17392
1990,News,53729
1990,Reality-TV,10689
1990,Romance,109768
1990,Sci-Fi,7460
1990,Short,36479
1990,Sport,19712
1990,Talk-Show,72611
1990,Thriller,10254
1990,War,2836
1990,Western,986
2000,Action,79194
2000,Adult,78018
2000,Adventure,72676
2000,Animation,95545
2000,Biography,19071
2000,Comedy,330015
2000,Crime,77475
2000,Documentary,194694
2000,Drama,459616
2000,Family,126420
2000,Fantasy,34386
2000,Game-Show,75197
2000,History,26531
2000,Horror,21599
2000,Music,73328
2000,Musical,10164
2000,Mystery,32156
2000,News,120839
2000,Reality-TV,100048
2000,Romance,177504
2000,Sci-Fi,14323
2000,Short,150612
2000,Sport,46983
2000,Talk-Show,175485
2000,Thriller,21378
2000,War,6515
2000,Western,977
2010,Action,163958
2010,Adult,187894
2010,Adventure,140895
2010,Animation,177892
2010,Biography,52367
2010,Comedy,828236
2010,Crime,161549
2010,Documentary,417641
2010,Drama,892434
2010,Family,203720
2010,Fantasy,85047
2010,Game-Show,119101
2010,History,64217
2010,Horror,84666
2010,Music,129376
2010,Musical,26618
2010,Mystery,72470
2010,News,441726
2010,Reality-TV,309173
2010,Romance,270575
2010,Sci-Fi,48365
2010,Short,534827
2010,Sport,113061
2010,Talk-Show,536780
2010,Thriller,65962
2010,War,12544
2010,Western,3476
2020,Action,105328
2020,Adult,86263
2020,Adventure,89486
2020,Animation,119393
2020,Biography,25292
2020,Comedy,423130
2020,Crime,104249
2020,Documentary,259784
2020,Drama,712371
2020,Family,128990
2020,Fantasy,50415
2020,Game-Show,82288
2020,History,43050
2020,Horror,57548
2020,Music,57502
2020,Musical,12135
2020,Mystery,53970
2020,News,319350
2020,Reality-TV,171620
2020,Romance,213414
2020,Sci-Fi,27235
2020,Short,303543
2020,Sport,85613
2020,Talk-Show,391877
2020,Thriller,55405
2020,War,5010
2020,Western,2246
2030,Action,2
2030,Adventure,3
2030,Animation,1
2030,Comedy,1
2030,Crime,1
2030,Drama,11
2030,Fantasy,2
2030,Horror,1
2030,Short,1
2030,Sport,3
2030,Thriller,1
